COUNT,House Amount (in thousands),Senate Amount (in thousands),Full-Year CR Amount (in thousands),Program Increase,Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Emergency Funding (Senate),Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$ 5,000",,,Program increase,174,Turner (OH),,No,,,Human Effectiveness Advanced Technology,,Air Force,RDT&E,"O&M, Defense-Wide"
,"$ 18,200",,"$ 18,200",F-35 helmet mounted display system,,,,Yes,,,Human Effectiveness Applied Research,,Air Force,RDT&E,
,,"$ 10,000","$ 10,000",AFGSC modernization and enhancement of mission capabilities,,,,Yes,,,Intercontinental Ballistic Missile - Dem/Val,,Air Force,RDT&E,
,"$ 24,000",,"$ 24,000",Materials and equipment development,,,,No,,,Intercontinental Ballistic Missile - Dem/Val,,Air Force,RDT&E,
,,"$ 5,000",,Additively manufactured CCA wings,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,,"$ 1,000","$ 1,000",Affordable manufacturing of carbon nanotube data cables,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 6,400",,"$ 6,400",AFSC depot maintenance data science,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 12,100",,,Agile and adaptive additive manufacturing for next generation hypersonics,,,,No,,,Manufacturing Technology Program,,Air Force,RDT&E,
,,"$ 1,000",,Air Force sustainment center depot maintenance data science,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 20,000",,"$ 20,000",Classified additive manufacturing,,,,No,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 15,000",,"$ 15,000",Classified agile aircraft manufacturing,,,,No,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 5,000",,,Complex castings for hypersonics,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 5,000",,,Corrosion repair for hybrid airframes,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 7,550",,,Domestic natural rubber production,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,,"$ 4,000","$ 4,000",F-35 agnostic battery development,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 5,000",,,For the additive manufacturing of Super Niobium Refractory Metal,48,"Finstad (MN), Brownley (CA), Tenney (NY)",,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,"RDT&E, Air Force"
,"$ 5,000",,"$ 5,000",Gallium oxide for high power electronics,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,,"$ 2,000",,High accuracy robotics and localization for manufacturing and depot sustainment,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,,"$ 6,000","$ 3,000",High temperature composite material manufacturing,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 5,000",,,Highly electrified aircraft,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 5,000",,"$ 5,000",Large-format metal additive manufacturing for hypersonics,,,,No,,,Manufacturing Technology Program,,Air Force,RDT&E,
,,"$ 5,000","$ 2,000",Manufacturability of attritable sUAS,,,,No,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 5,000",,,Metal additive manufacturing,,,,No,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 3,000",,,Organic industrial base internet of things 5G strategic study,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 4,250",,,Rapid SMM DIB expansion for surge response,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,"$ 5,000",,"$ 5,000",Rapidly additively manufactured skins for the CCA program / Rapidly additively manufactured skins for CCA,152,Sorensen (IL),,No,,,Manufacturing Technology Program,,Air Force,RDT&E,"O&M, Defense-Wide"
,"$ 15,000","$ 15,000","$ 15,000",Vertical integration of scramjet supply chain,,,,Yes,,,Manufacturing Technology Program,,Air Force,RDT&E,
,,"$ 2,000","$ 2,000",Additive manufacturing of alloys,,,,No,,,Materials,,Air Force,RDT&E,
,,"$ 5,000","$ 2,500",Analytical simulation of composites for hypersonics,,,,Yes,,,Materials,,Air Force,RDT&E,
,,"$ 2,500",,Biomaterials for ground infrastructure reinforcement,,,,Yes,,,Materials,,Air Force,RDT&E,
,,"$ 6,000",,Biomineralization of subgrade materials for runways,,,,Yes,,,Materials,,Air Force,RDT&E,
,,"$ 4,000",,Continuous fiber 3D printing for hypersonic applications,,,,Yes,,,Materials,,Air Force,RDT&E,
,"$ 3,000",,,Disaggregated intelligence,,,,Yes,,,Materials,,Air Force,RDT&E,
,"$ 10,000",,"$ 10,000",Disruptive alloy metals development,,,,Yes,,,Materials,,Air Force,RDT&E,
,,"$ 9,000","$ 9,000",High energy synchrotron x-ray research,,,,Yes,,,Materials,,Air Force,RDT&E,
,,"$ 5,000",,Materials for rapid runway augmentation,,,,Yes,,,Materials,,Air Force,RDT&E,
,"$ 5,000",,,Materials solution network,,,,Yes,,,Materials,,Air Force,RDT&E,
,,"$ 2,000",,Mxene composites for electromagnetic interference shielding,,,,Yes,,,Materials,,Air Force,RDT&E,
,,"$ 10,000","$ 10,000",Next generation small satellite technology,,,,Yes,,,Materials,,Air Force,RDT&E,
,"$ 16,000",,,Non-bio materials,,,,Yes,,,Materials,,Air Force,RDT&E,
,,"$ 3,000","$ 3,000",Non-electric ratio frequency devices and systems for distributed operations,,,,Yes,,,Materials,,Air Force,RDT&E,
,"$ 10,000",,,Scale titanium additive manufacturing for critical airframe structures,,,,Yes,,,Materials,,Air Force,RDT&E,
,,"$ 1,000","$ 1,000",Scanning and additive manufacturing,,,,No,,,Materials,,Air Force,RDT&E,
,,"$ 5,500","$ 5,500",Thermal protection for hypersonic vehicles,,,,No,,,Materials,,Air Force,RDT&E,
,,"$ 280,000",,Program increase,,,,No,,,Next Generation Adaptive Propulsion (NGAP),,Air Force,RDT&E,
,"$ 27,600",,,Classified adjustment,,,,No,,,Next Generation Air Dominance,,Air Force,RDT&E,
,,"$ 5,000",,Advanced energy storage for insallation resilience,,,,No,,,Operational Energy and Installation Resilience,,Air Force,RDT&E,
,,"$ 2,000",,Load alleviation system,,,,Yes,,,Operational Energy and Installation Resilience,,Air Force,RDT&E,
,,"$ 1,500",,Western climate resiliency,,,,Yes,,,Operational Energy and Installation Resilience,,Air Force,RDT&E,
,"$ 8,000",,,Accelerating predictive maintenance system of record,,,,No,,,Rapid Sustainment Modernization (RSM),,Air Force,RDT&E,
,"$ 9,000",,,Agile manufacturing robot,,,,Yes,,,Rapid Sustainment Modernization (RSM),,Air Force,RDT&E,
,,"$ 3,000","$ 3,000",Automation innovation for sustainment,,,,No,,,Rapid Sustainment Modernization (RSM),,Air Force,RDT&E,
,"$ 15,000",,,CBM+ sensor based algorithm,,,,No,,,Rapid Sustainment Modernization (RSM),,Air Force,RDT&E,
,,"$ 2,000",,Fleet readiness additive manufacturing,,,,Yes,,,Rapid Sustainment Modernization (RSM),,Air Force,RDT&E,
,"$ 10,000",,"$ 10,000",Rapid adaptive manufacturing for sustainment and affordable mass,,,,Yes,,,Rapid Sustainment Modernization (RSM),,Air Force,RDT&E,
,"$ 3,000",,,NORAD wind turbine radar interference mitigation pilot program,,,,Yes,,,Region/Sector Operation Control Center Modernization Program,,Air Force,RDT&E,
,"$ 5,000","$ 2,500",,Nuclear transition / Nuclear technology transition,101,Letlow (LA),,Yes,,,Requirements Analysis and Maturation,,Air Force,RDT&E,"RDT&E, Air Force"
,"$ 7,500",,,Thermally robust hypersonic and re-entry technologies,,,,No,,,Science & Technology for Nuclear Re-Entry,,Air Force,RDT&E,
,"$ 4,000",,,Adaptive blue force tracking,,,,Yes,,,Science and Technology Management - Major Headquarters Activities,,Air Force,RDT&E,
,"$ 2,644",,,"Employing AI to recruit, develop, and retain",,,,Yes,,,Science and Technology Management - Major Headquarters Activities,,Air Force,RDT&E,
,,"$ 2,000",,Precise navigation,,,,Yes,,,Small Diameter Bomb (SDB),,Air Force,RDT&E,
,,"$ 1,750",,Computer vision platform for high-altitude imagery object reidentification,,,,Yes,,,Support to DCGS Enterprise,,Air Force,RDT&E,
,,"$ 7,500",,Countering adversary air system autonomy,,,,Yes,,,Tech Transition Program,,Air Force,RDT&E,
,"$ 5,000",,,High-voltage electric power platform,,,,Yes,,,Tech Transition Program,,Air Force,RDT&E,
,"$ 13,400","$ 2,000","$ 2,000",Operational additive manufacturing capabilities,,,,No,,,Tech Transition Program,,Air Force,RDT&E,
,,"$ 14,500","$ 14,500",Stratospheric balloon constellation experimentation,,,,Yes,,,Tech Transition Program,,Air Force,RDT&E,
,,"$ 2,000",,Stratospheric high altitude balloon platform for atmospheric column measurements,,,,Yes,,,Tech Transition Program,,Air Force,RDT&E,
,,"$ 5,000",,Academic partnership intermediary agreement technology transfer,,,,Yes,,,Technology Transfer,,Air Force,RDT&E,
,,"$ 2,000",,Air force applied innovation training,,,,Yes,,,Technology Transfer,,Air Force,RDT&E,
,"$ 5,000","$ 5,000","$ 5,000",Generating rural innovation for National Defense,,,,Yes,,,Technology Transfer,,Air Force,RDT&E,
,,"$ 2,000","$ 2,000",Partnership intermediary program,,,,No,,,Technology Transfer,,Air Force,RDT&E,
,,"$ 2,000",,Technology transfer project,,,,No,,,Technology Transfer,,Air Force,RDT&E,
,,"$ 2,500",,Digital test facility models,,,,Yes,,,Test and Evaluation Support,,Air Force,RDT&E,
,"$ 3,100",,,Digital testing and evaluation data review software models,,,,Yes,,,Test and Evaluation Support,,Air Force,RDT&E,
,,"$ 3,000","$ 3,000",Gigahertz-terahertz research,,,,Yes,,,University Research Initiatives,,Air Force,RDT&E,
,"$ 5,000",,,Intelligent 2D sensors,,,,Yes,,,University Research Initiatives,,Air Force,RDT&E,
,,"$ 2,000",,Materials for electronic and cyber applications,,,,No,,,University Research Initiatives,,Air Force,RDT&E,
,"$ 3,000",,,Modernized aviation ordnance loader development,,,,Yes,,,Vehicles and Support Equipment - General,,Air Force,RDT&E,
,,"$ 10,000","$ 10,000",Air Force weather transformation,,,,Yes,,,Weather Service,,Air Force,RDT&E,
,,"$ 2,000",,Commercial weather data pilot,,,,Yes,,,Weather Service,,Air Force,RDT&E,
,,"$ 2,500",,Enhanced USAF weather,,,,No,,,Weather Service,,Air Force,RDT&E,
,,"$ 2,500",,Machine learning global weather forecasting,,,,No,,,Weather Service,,Air Force,RDT&E,
,,"$ 2,000","$ 2,000",Operationalizing the stratosphere,,,,Yes,,,Weather Service,,Air Force,RDT&E,
,,"$ 4,000","$ 4,000",Weather service flood mapping and forecasting tool,,,,Yes,,,Weather Service,,Air Force,RDT&E,
,,"$ 1,000",,Weather wing data migration,,,,Yes,,,Weather Service,,Air Force,RDT&E,
,"$ 8,000",,,Accelerating the development and use of Software-Enabled Weapons Systems,21,Cammack (FL),,No,,,,,Air Force,RDT&E,"O&M, Defense-Wide"
,"$ 4,500",,,Advanced Coating Program (ACP),14,Bilirakis (FL),,Yes,,,,,Air Force,RDT&E,"RDT&E, Air Force"
,"$ 7,000",,,"Assists the Air Force’s Digital Transformation Office mission to coordinate digital efforts and fully exploit data across the domains of space readiness, intelligence surveillance & readiness, logistics, and data analysis through development of tools to accelerate data access, data analysis and data driven insights; preserve proprietary innovations; and increase interoperability and knowledge sharing to enhance the effectiveness of the warfighter",175,Turner (OH),,No,,,,,Air Force,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,,Department of Defense Software Factories,151,"Sewell (AL), Waltz (FL)",,Yes,,,,,Air Force,RDT&E,"RDT&E, Air Force"
,"$ 4,500",,,For Electronic Warfare Development for tactical data analysis capabilities in support of cognitive electronic warfare (EW) to make realtime decisions and operate safely against emerging threats,184,Williams (NY),,No,,,,,Air Force,RDT&E,"RDT&E, Air Force"
,"$ 10,000",,,"Hypersonic Prototyping program (HACM), for Hypersonic Propulsion Additive Manufacturing",180,Waltz (FL),,Yes,,,,,Air Force,RDT&E,"RDT&E, Air Force"
,"$ 9,500",,,Mission critical secure collaboration solution,16,"Bost (IL), McCormick (GA)",,No,,,,,Air Force,RDT&E,"O&M, Army"
,"$ 5,000",,,Mobile Autonomous Robotic Swarms (MARS),145,"Pettersen (CO), Stansbury (NM)",,Yes,,,,,Air Force,RDT&E,"RDT&E, Air Force"
,"$ 10,000",,,Quantum Communications and Sensing Test Infrastructure,121,Mills (FL),,Yes,,,,,Air Force,RDT&E,"O&M, Defense-Wide"
,"$ 8,000",,,Rotary machines with advanced magnetic materials to secure U.S. critical mineral supply chains from China and other foreign adversaries,192,"Yakym (IN), Banks (IN), Sewell (AL), Strong (AL)",,Yes,,,,,Air Force,RDT&E,"O&M, Defense-Wide"
,"$ 8,000",,,To develop novel materials and wearable devices to assess and augment Airman performance in aerospace environments such as global multi-day logistic flights as well as long duration remotely piloted aircraft missions,20,Cammack (FL),,Yes,,,,,Air Force,RDT&E,"O&M, Defense-Wide"
,"$ 3,000",,,"To support enhanced capabilities integrating Advanced Air Mobility and Uncrewed Aircraft Systems, including C-UAS efforts, with broader air traffic management in partnership with AFWERX to enhance military operations",183,Williams (NY),,No,,,,,Air Force,RDT&E,"RDT&E, Air Force"
,"$ 5,000",,,Fire faster integration,,,,Yes,,,155MM Self-Propelled Howitzer Improvements,,Army,RDT&E,
,"$ 20,000",,"$ 20,000",Advanced multi-layered mobile force protection,,,,Yes,,,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,"$ 18,000",,,Counter hypersonic missile propulsion,,,,Yes,,,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,,"$ 3,000",,Modular light tactical air defense platform,,,,Yes,,,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,,"$ 5,000","$ 3,000",Physics-based hardware and software algorithms,,,,Yes,,,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,"$ 10,000",,"$ 10,000",RAPID C-sUAS missile,,,,Yes,,,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,,"$ 5,000",,Silicon carbide electronics,,,,Yes,,,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,"$ 30,000",,"$ 30,000",Deep CEMA,,,,Yes,,,Air and Missile Defense Systems Engineering,,Army,RDT&E,
,"$ 3,560",,,Shryke glide munition,,,,Yes,,,Air and Missile Defense Systems Engineering,,Army,RDT&E,
,"$ 5,000",,,Automated Software Weakness and Vulnerability Discovery for Binary Code,158,"Strong (AL), Sewell (AL)",,Yes,,,Air and Missile Defense Technology,,Army,RDT&E,"RDT&E, Army"
,,"$ 7,500","$ 5,000",Beam control systems and industry grade optical fiber fabrication for energy laser,,,,No,,,Air and Missile Defense Technology,,Army,RDT&E,
,,"$ 5,000","$ 5,000",Counter-UAS center of excellence / C-UAS center of excellence,,,,Yes,,,Air and Missile Defense Technology,,Army,RDT&E,
,"$ 10,000",,,C-sUAS mitigation on the move,,,,Yes,,,Air and Missile Defense Technology,,Army,RDT&E,
,"$ 5,000",,,Missile risk-based mission assurance,,,,Yes,,,Air and Missile Defense Technology,,Army,RDT&E,
,,"$ 3,125",,Modeling and simulation development for emerging UAS threats,,,,No,,,Air and Missile Defense Technology,,Army,RDT&E,
,"$ 10,000",,,Optical hardware for high energy laser subsystems,,,,Yes,,,Air and Missile Defense Technology,,Army,RDT&E,
,"$ 5,000",,,Quantum cyber resilience air and missile prototype,,,,Yes,,,Air and Missile Defense Technology,,Army,RDT&E,
,"$ 5,000",,,S-UAS center of excellence,,,,Yes,,,Air and Missile Defense Technology,,Army,RDT&E,
,,"$ 6,000","$ 4,000",Air and missile defense common operating picture,,,,Yes,,,"Air Defense Command, Control and Intelligence - Eng Dev",,Army,RDT&E,
,,"$ 5,000",,Unmanned aircraft systems test and research center,,,,Yes,,,Air Platform Advanced Technology,,Army,RDT&E,
,"$ 10,000",,,Integrated mission planning and airspace control tools,,,,No,,,Air Traffic Control,,Army,RDT&E,
,"$ 15,000",,,BE-CDL mode 300 series protected waveforms,,,,Yes,,,Aircraft Avionics,,Army,RDT&E,
,"$ 7,500",,,Networked multi-sensor multi-object weapon targeting,,,,Yes,,,All Domain Convergence Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,Weapon target pairing and track fusion capabilities,,,,Yes,,,All Domain Convergence Advanced Technology,,Army,RDT&E,
,"$ 10,000",,,Advanced combat engine,,,,No,,,Armored System Modernization - Adv Dev,,Army,RDT&E,
,,"$ 5,000",,Helmet mounted display for AMPV,,,,Yes,,,Armored System Modernization - Adv Dev,,Army,RDT&E,
,,"$ 10,000",,Moldable endothermic blast mitigation,,,,Yes,,,Armored System Modernization - Adv Dev,,Army,RDT&E,
,,"$ 8,000",,Glide munitions precision effects,,,,Yes,,,Army Agile Innovation and Demonstration,,Army,RDT&E,
,,"$ 6,500",,Next generation hybrid rocket engines,,,,Yes,,,Army Agile Innovation and Demonstration,,Army,RDT&E,
,"$ 3,000",,,Printable thermoplastics,,,,Yes,,,Army Agile Innovation and Demonstration,,Army,RDT&E,
,"$ 8,000",,,Sensor fusion automatic target recognition missile system,,,,Yes,,,Army Agile Innovation and Demonstration,,Army,RDT&E,
,"$ 12,000",,"$ 12,000",AI decision aids for C-UAS swarms,,,,Yes,,,Army Integrated Air and Missile Defense (AIAMD),,Army,RDT&E,
,,"$ 10,000",,High-energy laser thermal management components,,,,Yes,,,Army Integrated Air and Missile Defense (AIAMD),,Army,RDT&E,
,,"$ 4,000",,AI decision advantage for command and control capabilities,,,,Yes,,,Army Missle Defense Systems Integration,,Army,RDT&E,
,"$ 5,000",,,Compact array of scanning antennas for directed energy,,,,Yes,,,Army Missle Defense Systems Integration,,Army,RDT&E,
,,"$ 7,000","$ 7,000",Ground test for hypersonics,,,,Yes,,,Army Missle Defense Systems Integration,,Army,RDT&E,
,"$ 25,000",,,Applied research into source characterization and recovery of Rare Earth Element domestic reserves,120,Miller (OH),,Yes,,,Army Space Systems Integration,,Army,RDT&E,"RDT&E, Army"
,"$ 10,000","$ 10,000","$ 10,000",Distributed aperture adjunct for multi-domain operations,,,,Yes,,,Army Space Systems Integration,,Army,RDT&E,
,"$ 10,000",,,DDS communications modernization,,,,Yes,,,Army Tactical Command & Control Hardware & Software,,Army,RDT&E,
,,"$ 2,500",,Multi-factor authentication for enhanced cyber security,,,,Yes,,,Army Tactical Command & Control Hardware & Software,,Army,RDT&E,
,"$ 15,000",,,Hypersonic multi-domain test modules,,,,Yes,,,Army Technical Test Instrumentation and Targets,,Army,RDT&E,
,"$ 5,000",,,Rapid Assurance Modernization Program – Test (RAMP-T),160,"Strong (AL), Sewell (AL)",,Yes,,,Army Technical Test Instrumentation and Targets,,Army,RDT&E,"RDT&E, Army"
,"$ 5,000",,"$ 5,000",WDTC,,,,No,,,Army Test Ranges and Facilities,,Army,RDT&E,
,,,"$ 12,000",Edge based predictive maintenance tools,,,,Yes,,,Artificial Intelligence and Machine Learning Advanced Technologies,,Army,RDT&E,
,"$ 10,000",,,Command center artificial intelligence,,,,Yes,,,Artificial Intelligence and Machine Learning Technologies,,Army,RDT&E,
,,"$ 10,000",,Distributed AI data fusion for uncrewed systems,,,,No,,,Artificial Intelligence and Machine Learning Technologies,,Army,RDT&E,
,,"$ 12,000",,Edge based predictive maintenance tools,,,,Yes,,,Artificial Intelligence and Machine Learning Technologies,,Army,RDT&E,
,,"$ 5,000",,Soft recoil for 105mm extended range artillery,,,,Yes,,,Artillery Systems - EMD,,Army,RDT&E,
,"$ 5,000",,,Wireless hearing protection,,,,Yes,,,Artillery Systems - EMD,,Army,RDT&E,
,"$ 12,500",,,All electric flight control system,,,,Yes,,,Aviation - Adv Dev,,Army,RDT&E,
,"$ 10,000",,,CSOC extended regional cyber spoke,,,,Yes,,,Aviation Ground Support Equipment,,Army,RDT&E,
,"$ 20,000",,,Multi-domain operations environment for test and training,,,,Yes,,,Aviation Ground Support Equipment,,Army,RDT&E,
,"$ 10,000",,,Hydra-70 rocket product improvements,,,,Yes,,,Aviation Rocket System Product Improvement and Development,,Army,RDT&E,
,"$ 100,000","$ 50,000","$ 100,000",Blackhawk modernization / Program increase,,,,No,,,Blackhawk Product Improvement Program,,Army,RDT&E,
,"$ 10,000",,,Blade Improvement Erosion Protection systems development,64,"Hudson (NC), Kiggans (VA)",,Yes,,,Blackhawk Product Improvement Program,,Army,RDT&E,"O&M, Army"
,,"$ 2,000",,Health and usage monitoring system,,,,Yes,,,Blackhawk Product Improvement Program,,Army,RDT&E,
,"$ 5,500",,,UH-60 Blackhawk main rotor blade modernization,,,,Yes,,,Blackhawk Product Improvement Program,,Army,RDT&E,
,,"$ 1,500",,Critical infrastructure cyber and electronic warfare incident response,,,,Yes,,,C3I Applied Research,,Army,RDT&E,
,"$ 20,000",,"$ 20,000",High bandwidth cryptomodule enhancements & certification,,,,Yes,,,C3I Cyber Advanced Development,,Army,RDT&E,
,,"$ 4,000",,NATO autonomous cyber and communications interoperability,,,,Yes,,,C3I Cyber Advanced Development,,Army,RDT&E,
,"$ 5,000",,,Closed combustion containerized kitchen,,,,Yes,,,"Combat Feeding, Clothing, and Equipment",,Army,RDT&E,
,"$ 9,000",,"$ 9,000",Cannon telematic sensor systems,,,,Yes,,,Combat Vehicle Improvement Programs,,Army,RDT&E,
,"$ 10,000",,,Formed metallic armor for combat vehicles,,,,Yes,,,Combat Vehicle Improvement Programs,,Army,RDT&E,
,,"$ 5,000",,M1 Abrams helmet mounted display,,,,Yes,,,Combat Vehicle Improvement Programs,,Army,RDT&E,
,"$ 6,500",,,Next generation auxiliary power units,,,,Yes,,,Combat Vehicle Improvement Programs,,Army,RDT&E,
,"$ 10,900","$ 3,000","$ 3,000",Stryker driver assistance systems,,,,Yes,,,Combat Vehicle Improvement Programs,,Army,RDT&E,
,"$ 58,000",,"$ 58,000",Stryker modernization,,,,No,,,Combat Vehicle Improvement Programs,,Army,RDT&E,
,,"$ 5,000","$ 5,000",Multi-source data fusion platform,,,,Yes,,,CounterIntel and Human Intel Modernization,,Army,RDT&E,
,"$ 20,000",,"$ 20,000",Next generation counter-unmanned aerial system missile,,,,No,,,Counter-Small Unmanned Aircraft Systems Advanced Development,,Army,RDT&E,
,,"$ 4,500",,Roadrunner-M (emergency),,,,No,,Yes,Counter-Small Unmanned Aircraft Systems Sys Dev & Demonstration,,Army,RDT&E,
,"$ 10,000",,,Joint research lab,,,,Yes,,,Defense Research Initiatives,,Army,RDT&E,
,,"$ 1,000",,Enhancing modeling and simulation of physics-based environments,,,,No,,,Defense Research Sciences,,Army,RDT&E,
,,"$ 3,000",,UAV hybrid propulstion technologies,,,,Yes,,,Defense Research Sciences,,Army,RDT&E,
,"$ 5,000",,,AI/ML packet-based anomaly detection,,,,No,,,Defensive Cyber - Software Prototype Development,,Army,RDT&E,
,"$ 5,000",,,C-UAS and C-CM HEL atmospheric study and prototype,,,,Yes,,,Emerging Technology Initiatives,,Army,RDT&E,
,,"$ 2,000",,Enhanced single and dual band sensors for high energy laser targeting,,,,Yes,,,Emerging Technology Initiatives,,Army,RDT&E,
,,"$ 2,000",,ISV multi-mission and logistics variants,,,,Yes,,,Emerging Technology Initiatives,,Army,RDT&E,
,"$ 10,000",,,"Advanced Combat Transmission for combat vehicles including the M1 Abrams, the M2 Bradley Fighting vehicle and the upcoming XM-30 platform",69,James (MI),,Yes,,,End Item Industrial Preparedness Activities,,Army,RDT&E,"O&M, Defense-Wide"
,,"$ 2,500",,Advanced cybersecurity range modernization,,,,Yes,,,End Item Industrial Preparedness Activities,,Army,RDT&E,
,"$ 10,000",,"$ 10,000",Advanced delamination resistant transparent armor,,,,Yes,,,End Item Industrial Preparedness Activities,,Army,RDT&E,
,,"$ 5,000","$ 5,000",Advanced manufacturing center of excellence,,,,Yes,,,End Item Industrial Preparedness Activities,,Army,RDT&E,
,"$ 5,000",,,Manufacturing technology for reserve engineering,,,,Yes,,,End Item Industrial Preparedness Activities,,Army,RDT&E,
,"$ 10,000",,,Novel castings and forgings demonstrations,,,,Yes,,,End Item Industrial Preparedness Activities,,Army,RDT&E,
,"$ 10,000",,,To support Advanced Manufacturing and Inspection Techniques for Structural Missile Components,49,Fitzherald (WI),,Yes,,,End Item Industrial Preparedness Activities,,Army,RDT&E,"O&M, Defense-Wide"
,,"$ 3,000",,Friction stir additive manufacturing,,,,Yes,,,Environmental Quality Technology - Dem/Val,,Army,RDT&E,
,"$ 5,000",,,PFAS destruction demonstration,,,,No,,,Environmental Quality Technology - Dem/Val,,Army,RDT&E,
,"$ 5,000",,"$ 5,000",Underwater cut and capture demonstration,,,,Yes,,,Environmental Quality Technology - Dem/Val,,Army,RDT&E,
,"$ 10,000",,,Wire-arc additive manufacturing,,,,Yes,,,Environmental Quality Technology - Dem/Val,,Army,RDT&E,
,"$ 5,000",,,Demonstration of commercial software to modernize reporting systems,,,,Yes,,,Environmental Quality Technology - Operational System Dev,,Army,RDT&E,
,"$ 30,000",,"$ 30,000",Counter-unmanned aerial system swarm technology acceleration,,,,No,,,Expanded Mission Area Missile (EMAM),,Army,RDT&E,
,,"$ 3,000",,Secure APNT for FTUAS,,,,No,,,Future Tactical Unmanned Aircraft System (FTUAS),,Army,RDT&E,
,"$ 15,000","$ 3,000","$ 15,000",Advanced helicopter seating system,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,Autonomous configuration management and aviation records prototype development,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,"$ 10,000",,"$ 10,000",Ballistic tolerant self-sealing hose,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,,"$ 11,000","$ 11,000",Composite material sustainament modernization,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,"$ 10,000",,"$ 10,000",Composite oil reservoir,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,,"$ 5,500",,Composite structure research for aircraft,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,"$ 5,500",,,Data refinement and optimization for aviation sustainment program,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,"$ 9,500",,,FLEETSPACE helicopter maintenance management tool,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,,"$ 2,500",,Future verticle lift technologies,,,,No,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,,"$ 3,000",,Multi-function scalable antenna array for airborne radar,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,,"$ 4,850","$ 4,850",Platform digitalization and maintenance,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,,"$ 5,000",,Replacement floor for H-60 airframe,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,"$ 12,500",,,Surface tolerant adhesives,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,Tactical organic fire support,,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,"$ 15,000",,,"Variable speed rotor, blade and higher harmonic control",,,,Yes,,,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,,"$ 3,000",,Adaptive flight control technology,,,,Yes,,,Future Vertical Lift Technology,,Army,RDT&E,
,"$ 15,000","$ 5,000","$ 5,000",High density eVTOL power source,,,,Yes,,,Future Vertical Lift Technology,,Army,RDT&E,
,"$ 4,000",,,High strength functional composites,,,,Yes,,,Future Vertical Lift Technology,,Army,RDT&E,
,,"$ 2,000",,UAS propulsion and power systems,,,,No,,,Future Vertical Lift Technology,,Army,RDT&E,
,,"$ 5,000",,Wind tunnel modernization,,,,Yes,,,Future Vertical Lift Technology,,Army,RDT&E,
,,"$ 2,000",,Accelerator technology for ground maneuver,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 3,000",,Advanced coating development for infrastructure,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
